# t_s,id,pitch_rad,yaw_rad,pitch_rate_rad_s,yaw_rate_rad_s
1.540014,1,0.342293,0.243283,-0.008132,-0.005379
1.550562,1,0.342372,0.243289,-0.014639,-0.010028
1.561112,1,0.342286,0.243309,0.000235,-0.010028
1.571661,1,0.342272,0.243311,0.001165,-0.012816
1.582210,1,0.342314,0.243329,0.000235,-0.001661
1.592760,1,0.342281,0.243331,0.001165,-0.004450
1.603308,1,0.342391,0.243342,0.005813,-0.008168
1.613857,1,0.342361,0.243351,0.002094,-0.000731
1.624405,1,0.342375,0.243407,-0.001624,-0.005379
1.634953,1,0.342401,0.243409,-0.003483,-0.006309
1.645505,1,0.342315,0.243400,-0.012780,-0.005379
1.656053,1,0.342277,0.243448,0.009531,-0.014676
1.666603,1,0.342315,0.243453,0.001165,-0.004450
1.677153,1,0.342298,0.243471,-0.004413,-0.004450
1.687702,1,0.342325,0.243513,0.016039,-0.010028
1.698251,1,0.342335,0.243507,-0.000695,-0.010957
1.708800,1,0.342293,0.243557,0.003954,-0.007239
1.719349,1,0.342342,0.243595,-0.005343,-0.008168
1.729900,1,0.342350,0.243692,0.018827,-0.007239
1.740451,1,0.342541,0.243768,0.022546,-0.012816
1.750999,1,0.342778,0.243912,0.012320,-0.014676
1.761550,1,0.342903,0.243923,-0.004413,-0.005379
1.772099,1,0.342924,0.243964,-0.000695,-0.007239
1.782660,1,0.342832,0.243964,0.004883,0.000198
1.793212,1,0.342867,0.243976,-0.004413,-0.006309
1.803761,1,0.342923,0.243968,0.004883,-0.002591
1.814309,1,0.342912,0.243972,-0.009061,-0.005379
1.824858,1,0.342801,0.243966,-0.007202,-0.003520
1.835407,1,0.342782,0.243960,0.001165,-0.001661
1.845956,1,0.342781,0.244018,0.003024,-0.005379
1.856505,1,0.342819,0.244078,0.002094,-0.005379
1.867054,1,0.342823,0.244157,0.007672,-0.005379
1.877624,1,0.342823,0.244177,0.003024,-0.006309
1.888180,1,0.342932,0.244251,0.010461,-0.008168
1.898811,1,0.343154,0.244324,0.017898,-0.009098
1.909395,1,0.343340,0.244344,0.013250,-0.000731
1.919940,1,0.343516,0.244378,0.020687,0.003917
1.930441,1,0.343697,0.244384,0.016968,-0.006309
1.940967,1,0.343771,0.244441,0.011390,-0.023042
1.951495,1,0.344002,0.244587,0.023476,-0.016535
1.962021,1,0.344335,0.244805,0.023476,-0.017464
1.972549,1,0.344710,0.245068,0.023476,-0.023042
1.983080,1,0.345007,0.245460,0.013250,-0.036057
1.993614,1,0.345162,0.246125,0.012320,-0.064875
2.004147,1,0.345312,0.247047,0.019757,-0.092764
2.014666,1,0.345399,0.248484,0.011390,-0.122511
2.025204,1,0.345553,0.250209,0.011390,-0.152259
2.035742,1,0.345708,0.252773,0.021616,-0.219192
2.046278,1,0.345937,0.256305,0.015109,-0.299139
2.056811,1,0.346178,0.260549,0.014179,-0.384664
2.067346,1,0.346446,0.266522,0.016039,-0.498077
2.077880,1,0.346665,0.273347,0.010461,-0.606843
2.088416,1,0.346850,0.282550,0.001165,-0.745356
2.098954,1,0.346820,0.292510,0.003024,-0.874573
2.109485,1,0.346793,0.305252,0.005813,-1.007508
2.120019,1,0.346672,0.318323,0.006742,-1.133007
2.130555,1,0.346632,0.334428,0.012320,-1.264083
2.141084,1,0.346610,0.350533,0.011390,-1.371919
2.151616,1,0.346601,0.369970,0.007672,-1.511361
2.162147,1,0.346628,0.391190,0.019757,-1.636860
2.172678,1,0.346659,0.412004,0.014179,-1.760499
2.183213,1,0.346623,0.436498,0.022546,-1.877631
2.193746,1,0.346616,0.460161,0.020687,-1.985467
2.204258,1,0.346679,0.487627,0.024405,-2.100739
2.214796,1,0.346742,0.513896,0.021616,-2.199279
2.225326,1,0.346881,0.544175,0.030912,-2.302467
2.235845,1,0.347051,0.572813,0.020687,-2.383343
2.246379,1,0.347268,0.605403,0.029983,-2.469798
2.256896,1,0.347510,0.635944,0.022546,-2.537660
2.267431,1,0.347628,0.670354,0.020687,-2.589719
2.277967,1,0.347855,0.702497,0.022546,-2.659440
2.288496,1,0.348184,0.738579,0.021616,-2.716147
2.299026,1,0.348415,0.771826,0.022546,-2.740317
2.309562,1,0.348687,0.808614,0.022546,-2.744965
2.320097,1,0.348852,0.845329,0.016968,-2.737528
2.330631,1,0.349064,0.878376,0.017898,-2.691977
2.341161,1,0.349113,0.913968,0.004883,-2.609241
2.351693,1,0.349060,0.945164,0.005813,-2.510701
2.362224,1,0.349056,0.977706,0.031842,-2.357314
2.372753,1,0.349210,1.005398,0.025335,-2.206716
2.383284,1,0.349458,1.033602,0.028124,-2.024511
2.393816,1,0.349702,1.057132,0.028124,-1.863687
2.404348,1,0.350013,1.080581,0.016968,-1.664749
2.414885,1,0.350210,1.099669,0.017898,-1.479755
2.425394,1,0.350345,1.117976,0.018827,-1.275238
2.435929,1,0.350523,1.132150,-0.000695,-1.076300
2.446465,1,0.350557,1.145023,0.005813,-0.856910
2.456998,1,0.350710,1.154920,-0.005343,-0.641238
2.467540,1,0.350802,1.161278,-0.007202,-0.429285
2.478074,1,0.350694,1.165426,-0.010920,-0.223840
2.488597,1,0.350623,1.166725,-0.000695,-0.031409
2.499126,1,0.350653,1.166022,-0.004413,0.097808
2.509655,1,0.350610,1.164139,0.012320,0.184263
2.520185,1,0.350718,1.161218,0.000235,0.245618
2.530717,1,0.350697,1.157996,0.003954,0.280013
2.541250,1,0.350710,1.153888,0.008602,0.321846
2.551801,1,0.350711,1.149703,0.006742,0.353453
2.562337,1,0.350904,1.144798,0.006742,0.376694
2.572869,1,0.350921,1.140023,0.002094,0.401793
2.583401,1,0.350952,1.134373,0.004883,0.439908
2.593939,1,0.351023,1.128329,0.005813,0.465937
2.604473,1,0.350986,1.122511,0.010461,0.487318
2.615007,1,0.351014,1.115882,-0.005343,0.491966
2.625540,1,0.351057,1.109921,-0.006272,0.488248
2.636077,1,0.351172,1.103628,0.014179,0.450134
2.646611,1,0.351296,1.098549,-0.004413,0.397145
2.657144,1,0.351434,1.093920,-0.015568,0.310691
2.667686,1,0.351449,1.090628,-0.028583,0.238181
2.678221,1,0.351306,1.087976,-0.041598,0.170318
2.688766,1,0.350923,1.086276,-0.065768,0.118260
2.699299,1,0.350286,1.084886,-0.112249,0.095949
2.709828,1,0.349091,1.083981,-0.204281,0.066201
2.720357,1,0.346548,1.083318,-0.259129,0.032735
2.730885,1,0.343402,1.083194,-0.278650,0.003917
2.741416,1,0.340547,1.083222,-0.353950,-0.001661
2.751947,1,0.336442,1.083443,-0.520351,0.001128
2.762476,1,0.330683,1.083935,-0.779715,-0.023972
2.773006,1,0.320900,1.084572,-1.078122,-0.016535
2.783523,1,0.308367,1.085105,-1.327260,-0.027690
2.794063,1,0.291558,1.085873,-1.549439,-0.051860
2.804547,1,0.273653,1.086824,-1.781843,-0.110426
2.815079,1,0.251218,1.088580,-1.958471,-0.130878
2.825605,1,0.229267,1.090324,-2.058870,-0.135526
2.836139,1,0.203564,1.092304,-2.209468,-0.152259
2.846670,1,0.178583,1.094196,-2.333107,-0.167133
2.857203,1,0.149092,1.096601,-2.526468,-0.192233
2.867734,1,0.117293,1.099139,-2.677996,-0.188514
2.878267,1,0.086619,1.101666,-2.781183,-0.211755
2.888807,1,0.051514,1.104696,-2.882512,-0.233136
2.899351,1,0.017891,1.107446,-2.890878,-0.234066
2.909899,1,-0.019916,1.110417,-2.952233,-0.206177
2.920482,1,-0.054444,1.112807,-2.922485,-0.177359
2.931043,1,-0.091834,1.115096,-2.865779,-0.143893
2.941602,1,-0.125291,1.116791,-2.770028,-0.128089
2.952164,1,-0.160497,1.118150,-2.640811,-0.084397
2.962731,1,-0.194021,1.119131,-2.520890,-0.048142
2.973314,1,-0.223424,1.119734,-2.411195,-0.023972
2.983899,1,-0.253842,1.120004,-2.271753,-0.016535
2.994469,1,-0.280124,1.120253,-2.164846,-0.019324
3.005067,1,-0.307737,1.120647,-2.023544,-0.012816
3.015626,1,-0.331098,1.120915,-1.878524,-0.006309
3.026185,1,-0.354224,1.121250,-1.608935,0.010424
3.036752,1,-0.373971,1.121406,-1.290076,-0.007239
3.047316,1,-0.388041,1.121784,-1.038149,-0.010957
3.057887,1,-0.400676,1.121859,-0.849436,0.008565
3.068450,1,-0.410417,1.121702,-0.693260,0.028087
3.079005,1,-0.419118,1.121184,-0.508266,0.042031
3.089547,1,-0.424426,1.120414,-0.269354,0.068060
3.100085,1,-0.427577,1.119169,-0.081571,0.108964
3.110614,1,-0.427986,1.117383,0.067168,0.144289
3.121146,1,-0.427345,1.114950,0.101563,0.171248
3.131675,1,-0.426389,1.112345,0.111789,0.175896
3.142202,1,-0.425209,1.110257,0.116437,0.149867
3.152734,1,-0.423789,1.108289,0.103423,0.128486
3.163259,1,-0.422840,1.106831,0.102493,0.109893
3.173785,1,-0.421820,1.105453,0.123874,0.088512
3.184313,1,-0.420498,1.104499,0.150833,0.057835
3.194846,1,-0.418524,1.103850,0.191736,0.029016
3.205373,1,-0.416150,1.103642,0.221484,-0.004450
3.215904,1,-0.413113,1.103922,0.250302,-0.033268
3.226432,1,-0.409943,1.104262,0.302361,-0.036986
3.236959,1,-0.405883,1.104779,0.359068,-0.035127
3.247489,1,-0.401494,1.105034,0.416704,-0.023972
3.258020,1,-0.396015,1.105148,0.479918,-0.010957
3.268547,1,-0.389430,1.105076,0.586824,-0.010957
3.279073,1,-0.382660,1.104586,0.668631,0.045750
3.289600,1,-0.373897,1.104320,0.788552,0.008565
3.300125,1,-0.364716,1.103939,0.894528,0.029016
3.310655,1,-0.353147,1.103236,1.046986,0.056905
3.321151,1,-0.341153,1.102720,1.173413,0.029016
3.331706,1,-0.326237,1.102516,1.311927,0.003917
3.342236,1,-0.311376,1.102487,1.391874,0.001128
3.352766,1,-0.293632,1.102472,1.542472,0.012283
3.363294,1,-0.276014,1.102469,1.694000,0.005776
3.373822,1,-0.254736,1.102545,1.856683,0.000198
3.384351,1,-0.233521,1.102576,2.000774,0.008565
3.394883,1,-0.208177,1.102635,2.148583,-0.007239
3.405413,1,-0.183631,1.102738,2.277801,-0.005379
3.415940,1,-0.154899,1.102832,2.400510,-0.009098
3.426469,1,-0.124614,1.103072,2.501838,-0.014676
3.436996,1,-0.095988,1.103354,2.592012,-0.010028
3.447523,1,-0.063276,1.103582,2.661733,-0.016535
3.458049,1,-0.032751,1.103847,2.716580,-0.005379
3.468588,1,0.001837,1.104089,2.776076,-0.004450
3.479158,1,0.033826,1.104266,2.771428,0.012283
3.489740,1,0.068807,1.104473,2.717510,0.018791
3.500298,1,0.100198,1.104501,2.674747,0.021580
3.510852,1,0.134005,1.104501,2.583645,0.018791
3.521405,1,0.166875,1.104527,2.491612,0.015072
3.531952,1,0.195560,1.104604,2.365185,0.007635
3.542504,1,0.225956,1.104841,2.271293,0.008565
3.553050,1,0.252304,1.104972,2.148583,0.026228
3.563598,1,0.279670,1.105134,2.034240,0.016002
3.574157,1,0.303527,1.105219,1.931053,0.011354
3.584703,1,0.328501,1.105671,1.634504,0.006706
3.595247,1,0.348447,1.106114,1.009801,-0.036057
3.605792,1,0.357838,1.106107,-0.168026,0.045750
3.616338,1,0.353482,1.106065,-0.029513,-0.027690
3.626885,1,0.354765,1.106757,0.078323,-0.117863
3.637427,1,0.355370,1.108467,-0.056472,-0.081608
3.647968,1,0.353503,1.109307,0.005813,-0.071382
3.658511,1,0.354566,1.110441,0.021616,-0.061157
3.669053,1,0.354449,1.110934,-0.025794,-0.012816
3.679595,1,0.353953,1.110894,-0.009991,-0.025831
3.690138,1,0.353861,1.111113,0.021616,-0.000731
3.700682,1,0.354254,1.110984,-0.016498,0.003917
3.711225,1,0.353842,1.110786,0.008602,-0.004450
3.721766,1,0.354754,1.110945,-0.002554,0.008565
3.732306,1,0.354393,1.110882,-0.015568,-0.000731
3.742846,1,0.354542,1.111083,0.003954,-0.015605
3.753387,1,0.354662,1.111160,-0.024865,-0.005379
3.763926,1,0.354160,1.111144,-0.017428,-0.019324
3.774466,1,0.354331,1.111402,-0.010920,-0.010028
3.785006,1,0.354055,1.111405,-0.031372,0.010424
3.795547,1,0.353448,1.111165,-0.007202,0.016931
3.806087,1,0.353421,1.110892,-0.005343,0.033665
3.816628,1,0.353004,1.110044,-0.015568,0.068990
3.827171,1,0.352831,1.108985,0.003024,0.101527
3.837725,1,0.352872,1.107227,-0.000695,0.154515
3.848275,1,0.352554,1.104626,-0.016498,0.216799
3.858824,1,0.352532,1.101680,-0.002554,0.273506
3.869372,1,0.352499,1.097378,-0.018357,0.354383
3.879920,1,0.352348,1.092485,-0.008132,0.415738
3.890468,1,0.352370,1.086091,-0.014639,0.516137
3.901015,1,0.352259,1.079122,0.002094,0.599802
3.911560,1,0.352381,1.070373,-0.001624,0.700201
3.922106,1,0.352383,1.061293,-0.000695,0.785726
3.932658,1,0.352273,1.050005,0.000235,0.886125
3.943205,1,0.352389,1.037487,0.007672,0.978157
3.953753,1,0.352477,1.025011,-0.001624,1.056245
3.964292,1,0.352574,1.010223,-0.000695,1.138051
3.974833,1,0.352776,0.995871,0.000235,1.205913
3.985362,1,0.352780,0.979161,-0.004413,1.275635
3.995893,1,0.352872,0.963158,-0.015568,1.328623
4.006438,1,0.352856,0.944675,-0.022076,1.402063
4.017004,1,0.352683,0.927062,-0.023005,1.468066
4.027559,1,0.352575,0.906800,-0.026724,1.544295
