# t_s,id,pitch_rad,yaw_rad,pitch_rate_rad_s,yaw_rate_rad_s
3.129044,1,-0.339237,-0.003873,0.011241,0.007361
3.139570,1,-0.332352,-0.003939,0.018405,0.008627
3.150094,1,-0.323267,-0.004092,0.022361,0.017095
3.160622,1,-0.311733,-0.004169,-0.010869,-0.004747
3.171149,1,-0.289769,-0.004044,-0.020373,-0.010679
3.181673,1,-0.272017,-0.003944,-0.020161,-0.010206
3.192198,1,-0.251832,-0.003852,-0.020741,-0.012396
3.202723,1,-0.229270,-0.003767,-0.018390,-0.007393
3.213248,1,-0.204432,-0.003712,-0.020520,-0.003706
3.223772,1,-0.170624,-0.003770,-0.024249,0.007716
3.234296,1,-0.141726,-0.003890,-0.024428,0.014082
3.244821,1,-0.103891,-0.004052,-0.021427,0.011374
3.255346,1,-0.072709,-0.004043,-0.018616,-0.008116
3.265870,1,-0.041194,-0.003783,-0.019476,-0.032389
3.276398,1,-0.009686,-0.003250,-0.020031,-0.062787
3.286939,1,0.021421,-0.002404,-0.018153,-0.089983
3.297470,1,0.052015,-0.001290,-0.012824,-0.116921
3.308001,1,0.082052,0.000045,-0.007477,-0.135324
3.318527,1,0.111446,0.001513,0.002413,-0.144934
3.329054,1,0.139873,0.003072,0.004400,-0.150780
3.339580,1,0.167108,0.004661,0.010655,-0.151834
3.350106,1,0.193064,0.006242,0.013217,-0.146742
3.360633,1,0.229565,0.008373,0.017219,-0.120836
3.371159,1,0.252142,0.009506,0.015601,-0.094658
3.381684,1,0.272999,0.010332,0.011130,-0.060196
3.392213,1,0.291424,0.010799,-0.001460,-0.026759
3.402741,1,0.310371,0.010863,-0.010205,0.011491
3.413267,1,0.322317,0.010801,-0.003481,0.008874
3.423793,1,0.331146,0.010717,-0.004907,0.008158
3.434320,1,0.336478,0.010696,-0.007641,0.002650
3.444850,1,0.338485,0.010624,-0.002887,0.007799
3.455377,1,0.337248,0.010581,-0.009000,0.004129
3.465910,1,0.334970,0.010508,-0.009190,0.006810
3.476437,1,0.332630,0.010427,-0.008418,0.005470
3.486967,1,0.330646,0.010389,-0.008476,0.001460
3.497494,1,0.329075,0.010405,-0.005358,-0.004159
3.508020,1,0.327872,0.010475,-0.000632,-0.008179
3.518552,1,0.326828,0.010575,-0.001178,-0.012180
3.529079,1,0.325647,0.010758,-0.016000,-0.021468
3.539605,1,0.323951,0.011093,-0.023368,-0.039302
3.550133,1,0.321332,0.011435,-0.002793,-0.027862
3.560661,1,0.313970,0.011879,-0.004989,-0.029904
3.571190,1,0.304996,0.011991,-0.007368,-0.005534
3.581717,1,0.291655,0.011937,0.018693,-0.000157
3.592245,1,0.273263,0.011825,0.016196,0.005577
3.602773,1,0.242861,0.011656,0.009086,0.005486
3.613301,1,0.212980,0.011468,0.012613,0.007191
3.623828,1,0.178651,0.011298,0.017937,0.000881
3.634354,1,0.140156,0.011252,0.026121,-0.015312
3.644881,1,0.086903,0.011372,0.033018,-0.028562
3.655409,1,0.040724,0.011554,0.038178,-0.031436
3.665935,1,-0.008371,0.011806,0.039330,-0.040971
3.676461,1,-0.060206,0.012133,0.038341,-0.042771
3.686987,1,-0.114484,0.012491,0.038377,-0.046714
3.697515,1,-0.171010,0.012920,0.037321,-0.051194
3.708041,1,-0.229362,0.013430,0.038845,-0.054894
3.718567,1,-0.288703,0.013996,0.039185,-0.056747
3.729096,1,-0.347481,0.014939,0.021065,-0.138886
3.739626,1,-0.388249,0.017647,-0.106934,-0.177823
3.750153,1,-0.372023,0.015801,0.129569,0.243280
3.760681,1,-0.336510,0.014921,-0.030401,0.032016
3.771207,1,-0.325851,0.014639,-0.014525,-0.022492
3.781734,1,-0.322236,0.015517,-0.008763,-0.077029
3.792261,1,-0.323294,0.015412,-0.011755,0.052692
3.802786,1,-0.329584,0.015487,-0.003157,-0.035779
3.813312,1,-0.337472,0.015349,-0.069325,0.031922
3.823838,1,-0.346979,0.015260,0.024599,-0.028303
3.834365,1,-0.356513,0.015684,0.026580,-0.031267
3.844891,1,-0.364153,0.016197,0.047343,-0.049852
3.855416,1,-0.363750,0.016597,0.049268,-0.030529
3.865942,1,-0.360880,0.016574,-0.000523,0.028002
3.876467,1,-0.359516,0.016348,-0.003749,0.010988
3.886993,1,-0.359241,0.016267,-0.024356,0.017988
3.897518,1,-0.358959,0.015901,-0.011884,0.040088
3.908049,1,-0.358526,0.015429,0.010658,0.045628
3.918575,1,-0.358816,0.015010,0.022178,0.029889
3.929100,1,-0.359785,0.014857,0.020301,0.012560
3.939629,1,-0.359777,0.014555,0.005340,0.039774
3.950155,1,-0.359339,0.014258,-0.011385,0.012885
3.960681,1,-0.359320,0.014278,-0.013211,-0.005769
3.971207,1,-0.359521,0.014568,-0.005044,-0.038061
3.981733,1,-0.359453,0.014926,0.000241,-0.027947
3.992259,1,-0.359587,0.015333,-0.004244,-0.047128
4.002785,1,-0.359956,0.015814,-0.011104,-0.020708
4.013312,1,-0.360088,0.015901,-0.008711,-0.002849
4.023839,1,-0.360023,0.015831,0.001893,0.011787
4.034365,1,-0.360029,0.015656,0.014116,0.016559
4.044891,1,-0.359979,0.015405,0.016224,0.023217
4.055418,1,-0.359924,0.015131,0.005102,0.024049
4.065946,1,-0.359843,0.014921,-0.004992,0.018206
4.076474,1,-0.359724,0.014803,-0.005272,0.005406
4.086964,1,-0.359676,0.014870,-0.000787,-0.012207
4.097459,1,-0.359656,0.015048,0.000523,-0.017013
4.107984,1,-0.359640,0.015243,-0.003168,-0.018866
4.118511,1,-0.359692,0.015402,-0.006082,-0.007393
4.129037,1,-0.359196,0.015267,0.002883,0.020570
4.139563,1,-0.358277,0.014782,0.027035,0.063171
4.150088,1,-0.357021,0.013593,0.062099,0.143611
4.160615,1,-0.355427,0.011433,0.097992,0.238453
4.171141,1,-0.353651,0.008311,0.122758,0.320795
4.181667,1,-0.350923,0.002270,0.147529,0.411669
4.192197,1,-0.348618,-0.002303,0.158613,0.434027
4.202721,1,-0.345222,-0.006879,0.151527,0.426277
4.213246,1,-0.339920,-0.011317,0.150422,0.408892
4.223771,1,-0.332141,-0.015399,0.140218,0.369918
4.234297,1,-0.321684,-0.019001,0.110639,0.320060
4.244824,1,-0.308483,-0.021894,0.059528,0.246252
4.255349,1,-0.292362,-0.024079,0.034924,0.182238
4.265874,1,-0.262427,-0.026174,0.003973,0.097931
